id,address,capacity,latitude,longitude,parking_type
opendata_ruhver_parkseiten_line.122,Trautenwolfstr.,8.0,48.15804019961594,11.585495558243496,Parkplatz
opendata_ruhver_parkseiten_line.123,Trautenwolfstr.,8.0,48.15777447828861,11.586381255132759,Parkplatz
opendata_ruhver_parkseiten_line.124,Nikolaistr.,6.0,48.15893393747731,11.586621138520686,Parkplatz
opendata_ruhver_parkseiten_line.125,Nikolaistr.,16.0,48.15879645746449,11.587620552346726,Parkplatz
opendata_ruhver_parkseiten_line.126,Nikolaipl.,4.0,48.15859610190584,11.586844291287893,Parkplatz
opendata_ruhver_parkseiten_line.127,Maria-Josepha-Str.,41.0,48.1579533846939,11.588252954106075,Parkplatz
opendata_ruhver_parkseiten_line.128,Maria-Josepha-Str.,16.0,48.15793350720393,11.5886963501294,Parkplatz
opendata_ruhver_parkseiten_line.129,Werneckstr.,6.0,48.15878824583916,11.588364555067637,Parkplatz
opendata_ruhver_parkseiten_line.130,Adelheidstr.,14.0,48.15729558855052,11.56747614608729,Parkplatz
opendata_ruhver_parkseiten_line.131,Adelheidstr.,15.0,48.157259812002046,11.567561806324612,Parkplatz
opendata_ruhver_parkseiten_line.132,Zentnerstr.,18.0,48.16000197307087,11.565043724495675,Parkplatz
opendata_ruhver_parkseiten_line.133,Schleißheimer Str.,23.0,48.16552999715198,11.564785062619153,Parkplatz
opendata_ruhver_parkseiten_line.134,Schleißheimer Str.,12.0,48.163943411718236,11.56446550927821,Parkplatz
opendata_ruhver_parkseiten_line.135,Schleißheimer Str.,2.0,48.15953978493593,11.562840792194738,Parkplatz
opendata_ruhver_parkseiten_line.136,Schleißheimer Str.,17.0,48.15871574422208,11.562585427419116,Parkplatz
opendata_ruhver_parkseiten_line.137,Schleißheimer Str.,6.0,48.158072153948645,11.562629271026093,Parkplatz
opendata_ruhver_parkseiten_line.138,Schleißheimer Str.,5.0,48.15739874772403,11.56241140074846,Parkplatz
opendata_ruhver_parkseiten_line.139,Zentnerstr.,9.0,48.157295141542484,11.56394278177556,Parkplatz
opendata_ruhver_parkseiten_line.140,Liebergesellstr.,24.0,48.1623030252621,11.59522655885812,Parkplatz
opendata_ruhver_parkseiten_line.141,Jungwirthstr.,14.0,48.16305852759426,11.59564180282999,Parkplatz
opendata_ruhver_parkseiten_line.142,Marktstr.,11.0,48.162732402251244,11.58825062857003,Parkplatz
opendata_ruhver_parkseiten_line.143,Marktstr.,12.0,48.16270726285403,11.588364040934808,Parkplatz
opendata_ruhver_parkseiten_line.144,Marktstr.,13.0,48.1619086914222,11.588555706590586,Parkplatz
opendata_ruhver_parkseiten_line.145,Hesseloherstr.,7.0,48.16311886953289,11.587814491123854,Parkplatz
opendata_ruhver_parkseiten_line.146,Hesseloherstr.,3.0,48.16318459759118,11.587897469499485,Parkplatz
opendata_ruhver_parkseiten_line.147,Kunigundenstr.,21.0,48.165248357050935,11.590934932147087,Parkplatz
opendata_ruhver_parkseiten_line.148,Elisabethstr.,5.0,48.15956573673003,11.564624955650332,Parkplatz
opendata_ruhver_parkseiten_line.149,Elisabethstr.,21.0,48.15974869266774,11.564123697535765,Parkplatz
opendata_ruhver_parkseiten_line.150,Agnesstr.,30.0,48.15827006543886,11.563550356608971,Parkplatz
opendata_ruhver_parkseiten_line.151,Karl-Theodor-Str.,20.0,48.16645676072743,11.580268498568541,Parkplatz
opendata_ruhver_parkseiten_line.152,Agnesstr.,22.0,48.15818004323464,11.563465757509576,Parkplatz
opendata_ruhver_parkseiten_line.153,Agnesstr.,22.0,48.157949127257844,11.565232836193314,Parkplatz
opendata_ruhver_parkseiten_line.154,Agnesstr.,32.0,48.15804322756503,11.565281165147834,Parkplatz
opendata_ruhver_parkseiten_line.155,Georgenstr.,28.0,48.15708679261241,11.56317439768261,Parkplatz
opendata_ruhver_parkseiten_line.156,Georgenstr.,16.0,48.15700877294378,11.563070527904232,Parkplatz
opendata_ruhver_parkseiten_line.157,Georgenstr.,15.0,48.15672926413143,11.566720602219092,Parkplatz
opendata_ruhver_parkseiten_line.158,Keuslinstr.,21.0,48.15772670286742,11.563330655400577,Parkplatz
opendata_ruhver_parkseiten_line.159,Keuslinstr.,20.0,48.15765762648081,11.563360047088366,Parkplatz
opendata_ruhver_parkseiten_line.160,Keuslinstr.,22.0,48.1574737854885,11.565026709180453,Parkplatz
opendata_ruhver_parkseiten_line.161,Keuslinstr.,24.0,48.157419526178145,11.564983520263997,Parkplatz
opendata_ruhver_parkseiten_line.162,Krumbacherstr.,20.0,48.158848519338314,11.565654754021487,Parkplatz
opendata_ruhver_parkseiten_line.163,Krumbacherstr.,16.0,48.15838688437819,11.567119901969713,Parkplatz
opendata_ruhver_parkseiten_line.164,Horscheltstr.,18.0,48.160322292598195,11.566016614812245,Parkplatz
opendata_ruhver_parkseiten_line.165,Horscheltstr.,18.0,48.160265679767086,11.56592407663313,Parkplatz
opendata_ruhver_parkseiten_line.166,Böttingerstr.,26.0,48.16700582357809,11.565975099094405,Parkplatz
opendata_ruhver_parkseiten_line.167,Karl-Theodor-Str.,18.0,48.16776554949851,11.565913496444804,Parkplatz
opendata_ruhver_parkseiten_line.168,Karl-Theodor-Str.,31.0,48.16721669019251,11.572157830115668,Parkplatz
opendata_ruhver_parkseiten_line.169,Karl-Theodor-Str.,11.0,48.1671832308425,11.574730923161743,Parkplatz
opendata_ruhver_parkseiten_line.170,Karl-Theodor-Str.,15.0,48.16700749574361,11.574680114295191,Parkplatz
opendata_ruhver_parkseiten_line.171,Agnesstr.,8.0,48.15783147405424,11.567082366510512,Parkplatz
opendata_ruhver_parkseiten_line.172,Agnesstr.,12.0,48.15769464493923,11.568230682022765,Parkplatz
opendata_ruhver_parkseiten_line.173,Agnesstr.,16.0,48.15777508468086,11.566889565357997,Parkplatz
opendata_ruhver_parkseiten_line.174,Agnesstr.,14.0,48.157617934613114,11.568211297504513,Parkplatz
opendata_ruhver_parkseiten_line.175,Agnesstr.,20.0,48.15739707798628,11.570631443355204,Parkplatz
opendata_ruhver_parkseiten_line.176,Agnesstr.,11.0,48.15744669428847,11.569485603769861,Parkplatz
opendata_ruhver_parkseiten_line.177,Agnesstr.,11.0,48.15732254098815,11.570421842245953,Parkplatz
opendata_ruhver_parkseiten_line.178,Agnesstr.,17.0,48.15721358975402,11.571837074151478,Parkplatz
opendata_ruhver_parkseiten_line.179,Isabellastr.,20.0,48.156884792078216,11.570888036664774,Parkplatz
opendata_ruhver_parkseiten_line.180,Isabellastr.,22.0,48.15684388126567,11.571064197877753,Parkplatz
opendata_ruhver_parkseiten_line.181,Isabellastr.,25.0,48.1577581691581,11.571450566577926,Parkplatz
opendata_ruhver_parkseiten_line.182,Isabellastr.,25.0,48.1577085871253,11.571622486150112,Parkplatz
opendata_ruhver_parkseiten_line.183,Isabellastr.,28.0,48.15871965523847,11.572281282283532,Parkplatz
opendata_ruhver_parkseiten_line.184,Thierschstr.,9.0,48.134370385026216,11.585702086928336,Parkplatz
