FID,angebot,parkregel_gruppe,parkregel_name,prm_name,strasse,geoportal_class,center_lon,center_lat
opendata_ruhver_parkseiten_line.2165,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Untersendling,Valleystr.,Absolutes Halteverbot,11.548701286207189,48.11761610112349
opendata_ruhver_parkseiten_line.2166,17.0,Mischparken,M 9-23,Untersendling,Thalkirchner Str.,Mischparken,11.55112892167476,48.11793657416967
opendata_ruhver_parkseiten_line.2167,7.0,Mischparken,M 9-23,Untersendling,Kochelseestr.,Mischparken,11.553378281003415,48.11849810476545
opendata_ruhver_parkseiten_line.2168,6.0,Mischparken,M 9-23,Untersendling,Kochelseestr.,Mischparken,11.553431329946545,48.118344668121246
opendata_ruhver_parkseiten_line.2169,7.0,Mischparken,M 9-23,Untersendling,Kochelseestr.,Mischparken,11.553203694511662,48.118422712149105
opendata_ruhver_parkseiten_line.2170,4.0,Mischparken,M 9-23,Untersendling,Kochelseestr.,Mischparken,11.553156254497367,48.11842990065895
opendata_ruhver_parkseiten_line.2171,20.0,Mischparken,M 9-23,Untersendling,Kochelseestr.,Mischparken,11.552175150648988,48.11834043600694
opendata_ruhver_parkseiten_line.2172,14.0,Mischparken,M 9-23,Untersendling,Oberländerstr.,Mischparken,11.551099281965223,48.11947339772552
opendata_ruhver_parkseiten_line.2173,21.0,Mischparken,M 9-23,Untersendling,Gotzinger Str.,Mischparken,11.550625879965908,48.11908936644102
opendata_ruhver_parkseiten_line.2174,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Untersendling,Kidlerpl.,Absolutes Halteverbot,11.541277300544857,48.117199289770376
opendata_ruhver_parkseiten_line.2175,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Untersendling,Implerpl.,Absolutes Halteverbot,11.547050600806688,48.11635850407528
opendata_ruhver_parkseiten_line.2176,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Schyrenbad,Plattnerstr.,Absolutes Halteverbot,11.5752009412586,48.118354219756775
